ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
hilar,*hilar,121,SPIN,39,hilar
pedir,*pedir,1828,ASK (REQUEST),40,pedir
nombre,*nombre,1405,NAME,41,nombre
jochipintado,*jochi pintado,,,42,jochi pintado
vibora,*víbora,730,SNAKE,43,víbora
hijo,*hijo,1620,SON,44,hijo
sembrar,*sembrar,748,SOW SEEDS,45,sembrar
caricari,*caricari,,,46,caricari
jausilagartija,"*jausi,lagartija",632,LIZARD,47,"jausi,lagartija"
sal,*sal,1274,SALT,48,sal
acomodar,*acomodar,,,49,acomodar
arrojar,*arrojar,1456,THROW,50,arrojar
tostar,*tostar,,,51,tostar
ventear,*ventear,,,52,ventear
viento,*viento,960,WIND,52,viento
traer,*traer,692,BRING,53,traer
nadar,*nadar,1439,SWIM,54,nadar
encima,*encima,1741,ABOVE,55,encima
tambien,*también,,,55,también
rioarriba,*río arriba,,,55,río arriba
buitrenegro,*buitre negro,,,56,buitre negro
felizalegrecontento,"*feliz,alegre,contento",1495,HAPPY,57,"feliz,alegre"
querer,*querer,1784,WANT,57,querer
garrapata,*garrapata,,,58,garrapata
escarbar,*escarbar,,,59,escarbar
viejo,*viejo,1229,OLD,60,viejo
dos,*dos,1498,TWO,61,dos
osohormigueroosoperezoso,"*oso hormiguero,oso perezoso",,,62,"oso hormiguero,oso perezoso"
piojo,*piojo,1392,LOUSE,63,piojo
palmareal,*palma real,,,64,palma real
balsa,*balsa,1664,RAFT,65,balsa
cuquisa,*cuquisa,,,66,bijiji
aji,*ají,919,CHILI PEPPER,67,ají
pesado,*pesado,1210,HEAVY,68,pesado
murcielago,*murciélago,1793,BAT,69,murciélago
avispopeto,"*avispo,peto",,,70,"avispo,peto"
dulce,*dulce,717,SWEET,71,dulce
piel,*piel,763,SKIN,72,piel
meter,*meter,998,PUT,73,meter
marimono,*marimono,,,74,marimono
verguenza,*vergüenza,1776,SHAME,75,vergüenza
basura,*basura,909,GARBAGE,76,basura
par,*par,1888,PAIR,77,par
cara,*cara,1560,FACE,77,cara
abajo,*abajo,1326,DOWN,78,abajo
bajar,*bajar,2014,GO DOWN (DESCEND),78,bajar
sobrinoa,*sobrino/a,1063,NEPHEW,79,sobrino/a
melero,*melero,,,80,melero
tucandera,*tucandera,,,81,tucandera
perdiz,*perdiz,3681,PARTRIDGE,82,perdiz
guayabaarbol,*guayaba (árbol),3981,GUAVA,83,guayaba (árbol)
risueno,*risueño,,,84,risueño
ranasapo,"*rana,sapo",503,FROG,85,"rana,sapo"
pusmateria,"*pus,materia",,,86,materia
chuchiocharocanabrava,"*chuchio,charo,caña brava",659,REED,87,"chuchio,charo,caña brava"
floracion,*floración,,,88,floración
cabello,*cabello,2648,HAIR (HEAD),88,cabello
mojar,*mojar,,,89,mojar
reir,*reír,1355,LAUGH,90,reír
orilla,*orilla,113,SHORE,91,orilla
necesito,*necesito,,,92,necesito
piepierna,"*pie,pierna",2098,FOOT OR LEG,93,"pie,pierna"
cabeza,*cabeza,1256,HEAD,94,cabeza
puntadeflechahechadetacuararaspada,*punta de flecha hecha de tacuara raspada,,,95,punta de flecha hecha de tacuara raspada
hueso,*hueso,1394,BONE,96,hueso
ayudar,*ayudar,1897,HELP,97,ayudar
diente,*diente,1380,TOOTH,98,diente
dualsuffix,*dual suffix,,,99,dual suffix
gritar,*gritar,715,SHOUT,100,gritar
fuerteagrio,"*fuerte,agrio",,,101,"fuerte,agrio"
pecho,*pecho,1592,CHEST,102,pecho
puertaafuera,"*puerta,afuera",,,103,"puerta,afuera"
gusano,*gusano,1219,WORM,104,gusano
grasagordura,"*grasa,gordura",323,FAT (ORGANIC SUBSTANCE),105,"grasa,gordura"
lamer,*lamer,319,LICK,106,lamer
gancho,*gancho,1071,HOOK,107,gancho
atorar,*atorar,,,108,atorar
diafiesta,"*día,fiesta",,,109,"día,fiesta"
tejer,*tejer,133,WEAVE,110,tejer
robar,*robar,713,STEAL,111,robar
palmera,*palmera,1181,PALM TREE,112,palmera
marihui,*marihuí,,,113,marihuí
excusar,*excusar,,,114,excusar
grano,*grano,605,GRAIN,115,grano
esquina,*esquina,192,CORNER,115,esquina
borogusano,"*boro,gusano",,,116,"boro,gusano"
tatu,*tatú,68,TATTOO,117,tatú
hipo,*hipo,162,HICCOUGH,118,hipo
morder,*morder,1403,BITE,119,morder
tucan,*tucán,308,TOUCAN,120,tucán
cuandoharto,"*cuando,harto",,,121,"cuando,harto"
subir,*subir,1102,CLIMB,122,subir
aro,*aro,,,123,aro
voz,*voz,1363,VOICE,124,voz
encontrar,*encontrar,719,FIND,125,encontrar
ombligo,*ombligo,1838,NAVEL,126,ombligo
adjectivizingsuffix,*adjectivizing suffix,,,127,adjectivizing suffix
palo,*palo,1295,STICK,128,palo
caer,*caer,1280,FALL,129,caer
tabano,*tábano,,,130,tábano
cuerno,*cuerno,1393,HORN (ANATOMY),131,cuerno
tortugapeta,"*tortuga,peta",,,132,"tortuga,peta"
ardilla,*ardilla,1628,SQUIRREL,133,ardilla
raspar,*raspar,1767,SCRAPE,134,raspar
hombre,*hombre,1554,MAN,135,hombre
mononocturno,*mono nocturno,,,136,mono nocturno
mosquito,*mosquito,1509,MOSQUITO,137,mosquito
