GLOSS	PROTO_ID	PROTO_CONCEPT
hueso,jipurí (nervio principal de la hoja de la palmera totai)	96	*hueso
muela	98	*diente
encía	98	*diente
colmillo	98	*diente
gancho,horqueta	98	*diente
con dientes	98	*diente
punta	98	*diente
tooth	98	*diente
teeth	98	*diente
dente	98	*diente
sin diente	98	*diente
dentellar	98	*diente
dentón	98	*diente
dentera	98	*diente
dentado	98	*diente
endentecer	98	*diente
sin dientes	98	*diente
encias	98	*diente
Uds. (dual/intrans.)	99	*dual suffix
ellos (dual/intrans.)	99	*dual suffix
nosotros (dual/incl./intrans.)	99	*dual suffix
nosotros (dual/excl./intrans.)	99	*dual suffix
dual suffix for nouns	99	*dual suffix
nosotros dos	99	*dual suffix
ambos,ellos dos	99	*dual suffix
dentrambos	99	*dual suffix
gritar,gruñir,chillar	100	*gritar
gritón	100	*gritar
grito,ahuillido,graznido	100	*gritar
vivo,sano,chacota,grito,griterio	100	*gritar
insaludable	100	*gritar
rojo	100	*gritar
contender	100	*gritar
chacotear,sanar	100	*gritar
curar	100	*gritar
curar,salvar	100	*gritar
curandero,salvador	100	*gritar
zorro	100	*gritar
disfavor	100	*gritar
fermentar la chicha	101	*fuerte,agrio
borracho	101	*fuerte,agrio
emborracher	101	*fuerte,agrio
avinegrado	101	*fuerte,agrio
strong	101	*fuerte,agrio
agrio	101	*fuerte,agrio
no agrio	101	*fuerte,agrio
galápago	102	*pecho
chest	102	*pecho
petto	102	*pecho
vello del pecho	102	*pecho
poitrine	102	*pecho
patio	103	*puerta,afuera
doorway,outside	103	*puerta,afuera
a fuera	103	*puerta,afuera
puerta,entrada	103	*puerta,afuera
abrir	103	*puerta,afuera
abierto	103	*puerta,afuera
por afuera	103	*puerta,afuera
afuera	103	*puerta,afuera
puerta,abertura	103	*puerta,afuera
está afuera	103	*puerta,afuera
salir afuera	103	*puerta,afuera
puerta	103	*puerta,afuera
cerrar	103	*puerta,afuera
cerrable	103	*puerta,afuera
worm	104	*gusano
desapolillar	104	*gusano
grasa,gordura	105	*grasa,gordura
gordura	105	*grasa,gordura
gordo	105	*grasa,gordura
engordar	105	*grasa,gordura
grasa,gorduba,aceite	105	*grasa,gordura
disfrazar	105	*grasa,gordura
desengrasar	105	*grasa,gordura
aceite,seto	105	*grasa,gordura
engordarse	105	*grasa,gordura
engordar,gordo	105	*grasa,gordura
fat	105	*grasa,gordura
probar	106	*lamer
palador	106	*lamer
jadear,lamer,gustar	106	*lamer
disgusto	106	*lamer
planchar	106	*lamer
enganchar	107	*gancho
gancho,palca (para tejer)	107	*gancho
hacha	107	*gancho
atravesar	107	*gancho
desgujar,deszumar	108	*atorar
estrangular,ahorcar	108	*atorar
tarde	109	*día,fiesta
day	109	*día,fiesta
evening	109	*día,fiesta
in (this) day	109	*día,fiesta
fiesta grande	109	*día,fiesta
día,festividad	109	*día,fiesta
fiesta	109	*día,fiesta
temprano en la tarde	109	*día,fiesta
se hizo tarde	109	*día,fiesta
la tarde	109	*día,fiesta
oscuro	109	*día,fiesta
oscurecer	109	*día,fiesta
afternoon	109	*día,fiesta
techar	110	*tejer
bien tejido	110	*tejer
ladrón	111	*robar
robado,lisiado,herido	111	*robar
steak	111	*robar
defraudar	111	*robar
hurtable	111	*robar
rob	111	*robar
thief	111	*robar
marayaú (palmera)	112	*palmera
clase de palmera	112	*palmera
palmiche	112	*palmera
jejene,marihuí	113	*marihuí
nigua	113	*marihuí
secretamente,callado	114	*excusar
cuidar,espiar	114	*excusar
excusa,excusar,fingir	114	*excusar
fingido	114	*excusar
excusable	114	*excusar
fingidamente	114	*excusar
rincon (de cases)	115	*grano
codo,esquina	115	*grano
escamas	115	*grano
codo	115	*grano
ingle	115	*esquina
aguja	115	*esquina
esquina,rincón,muslo	115	*esquina
cuadro	115	*esquina
semilla	115	*esquina
mordidos por gusanos	116	*boro,gusano
engusanarse	116	*boro,gusano
gusanera	116	*boro,gusano
boro	116	*boro,gusano
carachupa	116	*boro,gusano
gusano	116	*boro,gusano
víbora tatú	117	*tatú
pejichi	117	*tatú
armadillo	117	*tatú
quince kilos (clase de tatú)	117	*tatú
clase de víbora	117	*tatú
vejiga,natatorio,hipo	118	*hipo
tener hijo	118	*hipo
seno,bajo vientre	118	*hipo
tener hipo	118	*hipo
hiccough	118	*hipo
mordido,mordedura	119	*morder
vinegrera	119	*morder
ensartar en un palo	119	*morder
hay que ensartar	119	*morder
tengo vinegrera	119	*morder
hace mucho tiempo	121	*cuando,harto
tardarse	121	*cuando,harto
cuando	121	*cuando,harto
tardar mucho	121	*cuando,harto
harto	121	*cuando,harto
estada	121	*cuando,harto
mirar para arriba	122	*subir
subida	122	*subir
enseñar	122	*subir
aprender	122	*subir
alzar	122	*subir
resurrected	122	*subir
subir,arribar	122	*subir
levantarse	122	*subir
arribar,subir	122	*subir
subir,levantar	122	*subir
levantar	122	*subir
levantarse (de pié)	122	*subir
mango,cabo	123	*aro
garganta	124	*voz
voz,grito	124	*voz
palabra,idioma	124	*voz
cantar	124	*voz
conversaron	124	*voz
profesor	124	*voz
enseñar	124	*voz
lengua,idioma	124	*voz
andar encontrar	125	*encontrar
lo encontró	125	*encontrar
encuentro	125	*encontrar
encuentro de un río	125	*encontrar
ombligo,especie de ozo muy chico	126	*ombligo
clase de animal	126	*ombligo
assertive particle	127	*adjectivizing suffix
palito (como pata de mesa o silla),palca para tejar,cabo,mango	128	*palo
escalera de balsa	128	*palo
gancho,garfio,muesca	128	*palo
dardo	128	*palo
rodilla	128	*palo
sacar palo para pescar	128	*palo
ensalmar,hunada,huso	128	*palo
cadera	128	*palo
espalda de la canoe	128	*palo
ralo,no tupido	129	*caer
hacer caer	129	*caer
destechar	129	*caer
calva,encalvecer	129	*caer
calvo	129	*caer
vomitar,arrojar,empachar	129	*caer
tábano negro	130	*tábano
tábano grande	130	*tábano
cuerno,asta,espolón,garrón	131	*cuerno
rodilla	131	*cuerno
corneta (vaca)	131	*cuerno
griso (pez)	131	*cuerno
espolón	131	*cuerno
peta (de agua)	132	*tortuga,peta
peta	132	*tortuga,peta
peta seca	132	*tortuga,peta
tortuga grande	132	*tortuga,peta
turtle	132	*tortuga,peta
tortoise	132	*tortuga,peta
peta del monte	132	*tortuga,peta
año (time of turtles)	132	*tortuga,peta
tortuga de tierra)	132	*tortuga,peta
ardilla,masi	133	*ardilla
raspar (con cualquier instrumento sin filo),pelar	134	*raspar
peluquear	134	*raspar
hombrecito	135	hombre
boy	135	hombre
man	135	hombre
young	135	hombre
people	135	hombre
body,people	135	hombre
son	135	hombre
hombre,varón,macho	135	hombre
marimacho	135	hombre
hombre viejo	135	hombre
hombrón	135	hombre
mosquito,zancudo	137	*mosquito
muchos mosquitos	137	*mosquito
zancudo	137	*mosquito
trail	138	*camino
strada	138	*camino
calle	138	*camino
en el camino	138	*camino
vena	138	*camino
hostigar	138	*camino
rayar	138	*camino
pariente,hermano	139	*pariente
mucho,harto,tiene hermanos,bandada	139	*pariente
hermana mayor (entre mujeres)	139	*pariente
cuñado (marido de hermana)	139	*pariente
much	139	*pariente
older sister	139	*pariente
parents	139	*pariente
brother	139	*pariente
sister	139	*pariente
campañero	139	*pariente
todo,completo	139	*pariente
no es todo	139	*pariente
todas partes,todo el mundo	139	*pariente
igual	139	*pariente
vecino,paisano	139	*pariente
compañero	139	*pariente
my brother	139	*pariente
adentro	140	*hondo,profundo
por adentro	140	*hondo,profundo
mitad	140	*hondo,profundo
en el medio	140	*hondo,profundo
medir la profundidad	140	*hondo,profundo
irse a lo profundo	140	*hondo,profundo
profundo,hondo	140	*hondo,profundo
pando,poco profundo	140	*hondo,profundo
fondear	140	*hondo,profundo
fondeo,hondura	140	*hondo,profundo
panza	140	*hondo,profundo
hongo	140	*hondo,profundo
envolver	140	*hondo,profundo
bajar (por el río)	140	*hondo,profundo
desbarrancar	140	*hondo,profundo
enviar	140	*hondo,profundo
apartir	140	*hondo,profundo
tapar	140	*hondo,profundo
toadstoll	140	*hondo,profundo
medula,entrañas,centro	140	*entrar,centro
embudo,echador	140	*entrar,centro
hueco	140	*entrar,centro
entresacar	140	*entrar,centro
entrar	140	*entrar,centro
hundirse	140	*entrar,centro
volcar	140	*entrar,centro
